,strain,num_similar,ids
294,GCGS0306,2,"['GCGS0306_opa_6', 'GCGS0306_opa_9']"
295,GCGS0313,3,"['GCGS0313_opa_1', 'GCGS0313_opa_4', 'GCGS0313_opa_5']"
296,GCGS0313,2,"['GCGS0313_opa_11', 'GCGS0313_opa_6']"
297,GCGS0313,2,"['GCGS0313_opa_2', 'GCGS0313_opa_8']"
298,GCGS0339,3,"['GCGS0339_opa_6', 'GCGS0339_opa_10', 'GCGS0339_opa_8']"
299,GCGS0373,3,"['GCGS0373_opa_7', 'GCGS0373_opa_1', 'GCGS0373_opa_5']"
300,GCGS0373,3,"['GCGS0373_opa_4', 'GCGS0373_opa_3', 'GCGS0373_opa_10']"
301,GCGS0431,3,"['GCGS0431_opa_1', 'GCGS0431_opa_2', 'GCGS0431_opa_5']"
302,GCGS0431,3,"['GCGS0431_opa_11', 'GCGS0431_opa_7', 'GCGS0431_opa_8']"
303,GCGS0457,2,"['GCGS0457_opa_10', 'GCGS0457_opa_6']"
304,GCGS0457,2,"['GCGS0457_opa_2', 'GCGS0457_opa_8']"
305,GCGS0457,2,"['GCGS0457_opa_3', 'GCGS0457_opa_4']"
306,GCGS0457,2,"['GCGS0457_opa_9', 'GCGS0457_opa_7']"
307,GCGS0769,2,"['GCGS0769_opa_4', 'GCGS0769_opa_11']"
308,GCGS0834,2,"['GCGS0834_opa_5', 'GCGS0834_opa_1']"
309,GCGS0834,2,"['GCGS0834_opa_6', 'GCGS0834_opa_2']"
310,GCGS0834,2,"['GCGS0834_opa_8', 'GCGS0834_opa_4']"
311,GCGS0834,2,"['GCGS0834_opa_7', 'GCGS0834_opa_9']"
312,GCGS0864,2,"['GCGS0864_opa_4', 'GCGS0864_opa_1']"
313,GCGS0864,2,"['GCGS0864_opa_10', 'GCGS0864_opa_8']"
314,GCGS0864,2,"['GCGS0864_opa_3', 'GCGS0864_opa_7']"
315,GCGS0864,2,"['GCGS0864_opa_9', 'GCGS0864_opa_5']"
316,GCGS1013,2,"['GCGS1013_opa_3', 'GCGS1013_opa_10']"
317,GCGS1013,2,"['GCGS1013_opa_9', 'GCGS1013_opa_11']"
318,GCGS1013,2,"['GCGS1013_opa_2', 'GCGS1013_opa_4']"
319,GCGS1014,2,"['GCGS1014_opa_10', 'GCGS1014_opa_8']"
320,GCGS1014,5,"['GCGS1014_opa_7', 'GCGS1014_opa_9', 'GCGS1014_opa_5', 'GCGS1014_opa_2', 'GCGS1014_opa_3']"
321,GCGS1095,3,"['GCGS1095_opa_9', 'GCGS1095_opa_7', 'GCGS1095_opa_10']"
322,GCGS1095,2,"['GCGS1095_opa_3', 'GCGS1095_opa_2']"
323,GCGS1095,3,"['GCGS1095_opa_6', 'GCGS1095_opa_8', 'GCGS1095_opa_4']"
324,GGG022,2,"['GGG022_opa_7', 'GGG022_opa_11']"
325,GGG031,2,"['GGG031_opa_8', 'GGG031_opa_5']"
326,H035,2,"['H035_opa_1', 'H035_opa_4']"
327,H035,2,"['H035_opa_3', 'H035_opa_5']"
328,H035,2,"['H035_opa_8', 'H035_opa_6']"
329,HHH023,3,"['HHH023_opa_9', 'HHH023_opa_1', 'HHH023_opa_2']"
330,HHH023,3,"['HHH023_opa_11', 'HHH023_opa_6', 'HHH023_opa_4']"
331,HHH030,2,"['HHH030_opa_8', 'HHH030_opa_3']"
332,JJJ010,2,"['JJJ010_opa_6', 'JJJ010_opa_2']"
333,JJJ020,2,"['JJJ020_opa_5', 'JJJ020_opa_7']"
334,JJJ025,3,"['JJJ025_opa_8', 'JJJ025_opa_11', 'JJJ025_opa_9']"
335,NCTC8375,3,"['NCTC8375_opa_4', 'NCTC8375_opa_7', 'NCTC8375_opa_10']"
336,NCTC8375,2,"['NCTC8375_opa_2', 'NCTC8375_opa_9']"
337,NG196,2,"['NG196_opa_5', 'NG196_opa_10']"
338,NG196,2,"['NG196_opa_2', 'NG196_opa_6']"
339,NG196,2,"['NG196_opa_4', 'NG196_opa_8']"
340,NG196,2,"['NG196_opa_9', 'NG196_opa_7']"
341,NG250,7,"['NG250_opa_1', 'NG250_opa_2', 'NG250_opa_11', 'NG250_opa_10', 'NG250_opa_5', 'NG250_opa_6', 'NG250_opa_8']"
342,NG250,2,"['NG250_opa_7', 'NG250_opa_9']"
343,NG251,2,"['NG251_opa_1', 'NG251_opa_8']"
344,NG251,3,"['NG251_opa_3', 'NG251_opa_4', 'NG251_opa_9']"
345,NG290,2,"['NG290_opa_8', 'NG290_opa_11']"
346,NG290,2,"['NG290_opa_9', 'NG290_opa_6']"
347,Ng_118,2,"['Ng_118_opa_7', 'Ng_118_opa_1']"
348,Ng_118,4,"['Ng_118_opa_4', 'Ng_118_opa_8', 'Ng_118_opa_6', 'Ng_118_opa_5']"
349,Ng_188,4,"['Ng_188_opa_2', 'Ng_188_opa_1', 'Ng_188_opa_4', 'Ng_188_opa_10']"
350,Ng_188,3,"['Ng_188_opa_11', 'Ng_188_opa_8', 'Ng_188_opa_5']"
351,Ng_188,2,"['Ng_188_opa_6', 'Ng_188_opa_3']"
352,RIVM0610,2,"['RIVM0610_opa_3', 'RIVM0610_opa_9']"
353,RIVM0610,2,"['RIVM0610_opa_5', 'RIVM0610_opa_7']"
354,RIVM0640,2,"['RIVM0640_opa_1', 'RIVM0640_opa_6']"
355,RIVM0640,2,"['RIVM0640_opa_10', 'RIVM0640_opa_8']"
356,RIVM0640,2,"['RIVM0640_opa_9', 'RIVM0640_opa_3']"
357,RIVM0640,2,"['RIVM0640_opa_7', 'RIVM0640_opa_5']"
358,SAMEA116302675,2,"['SAMEA116302675_opa_10', 'SAMEA116302675_opa_1']"
