strain	opaA_sv	opaA_hv1	opaA_hv2	opaB_sv	opaB_hv1	opaB_hv2	opaC_sv	opaC_hv1	opaC_hv2	opaD_sv	opaD_hv1	opaD_hv2	opaE_sv	opaE_hv1	opaE_hv2	opaF_sv	opaF_hv1	opaF_hv2	opaG_sv	opaG_hv1	opaG_hv2	opaH_sv	opaH_hv1	opaH_hv2	opaI_sv	opaI_hv1	opaI_hv2	opaJ_sv	opaJ_hv1	opaJ_hv2	opaK_sv	opaK_hv1	opaK_hv2
H035	1	1	2	1	4	2	1	18	3	1	1	2	1	2	3	1	4	5	2	9	5	1	4	5	3	2	3	2	4	2	1	1	5
HHH023	1	13	6	1	13	6	4	7	3	1	2	2	1	2	3	1	2	2	1	13	6	3	1	6	1	13	6	2	1	4	1	2	2
HHH030	3	4	6	3	4	6	2	3	4	2	3	4	2	3	4	2	3	4	1	1	2	2	3	4	1	1	2	1	2	3			
HHH042	2	16	2	2	10	1	1	6	8	1	4	5	4	3	4	2	10	1	1	11	3	2	4	2	4	10	1	2	1	2	2	10	1
JJJ010	1	8	9	1	8	9	3	2	1	4	2	1	1	2	4	1	8	9	1	2	2	4	8	1	3	2	3	1	5	1	1	8	9
JJJ020	1	10	1	1	4	5	2	3	4	2	1	4	2	1	4	1	1	2	2	3	4	2	4	7	1	1	2	2	4	2	1	4	7
JJJ025	1	7	3	1	13	3	5	2	3	5	2	1	5	2	1	3	7	1	1	1	2	1	12	1	3	12	1	1	2	3	1	12	1
NCTC8375	3	5	2				1	5	1	2	1	7	1	1	2	1	5	1	2	5	1	1	5	1	1	12	1	1	1	2	1	5	1
NG196	1	1	2	1	1	4	1	1	6	1	4	6	1	5	1	4	1	1	1	4	6	4	1	1	4	5	1	1	8	9			
NG250	2	3	2	1	1	2	2	1	2	1	4	2	2	5	1	2	1	2	1	11	3	1	1	2	1	11	3	1	1	2	1	1	2
NG251	1	4	2	1	5	1	1	1	6	1	1	2	4	1	1	1	1	5	1	4	2	4	1	1	4	5	1	1	8	9	4	1	1
NG290	1	1	5	1	5	1	1	1	6	4	1	6	4	1	1	1	1	5	1	8	9	1	1	1	4	5	1	1	8	9			
