,wgs_id,accession,names,biosample_collection_date,continent,country,region,source,reference
548,GCGS0782,ERR1067718,"GCGS0782,17150_8#10,PHI-200209-22",2002,North America,USA,Philadelphia,representative,Grad2014_2016
549,GCGS0819,ERR1067832,"GCGS0819,17176_1#33,ALB-200308-11",2003,North America,USA,Albuquerque,representative,Grad2014_2016
550,GCGS0839,ERR1067710,"GCGS0839,17150_8#2,MIA-200202-22",2002,North America,USA,Miami,representative,Grad2014_2016
551,GCGS0860,ERR956684,"GCGS0860,16043_2#17,PHI-201312-28",2013,North America,USA,Philadelphia,representative,Grad2014_2016
552,GCGS0870,ERR1067778,"GCGS0870,17150_8#70,BHM-200002-09",2000,North America,USA,Birmingham,representative,Grad2014_2016
553,GCGS1029,ERR854889,"GCGS1029,15335_2#23,CLE-200705-20",2007,North America,USA,Cleveland,representative,Grad2014_2016
554,GCGS1035,ERR854891,"GCGS1035,15335_2#25,DTR-200707-15",2007,North America,USA,Detroit,representative,Grad2014_2016
555,GCs13M,,,,Africa,Ethiopia,,representative,ethiopia_isolates_grad_lab
556,GCs14N,,,,Africa,Ethiopia,,representative,ethiopia_isolates_grad_lab
557,GCs18R,,,,Africa,Ethiopia,,representative,ethiopia_isolates_grad_lab
558,GCs21U,,,,Africa,Ethiopia,,representative,ethiopia_isolates_grad_lab
559,GCs24X,,,,Africa,Ethiopia,,representative,ethiopia_isolates_grad_lab
560,GCs33G,,,,Africa,Ethiopia,,representative,ethiopia_isolates_grad_lab
561,GCs47U,,,,Africa,Ethiopia,,representative,ethiopia_isolates_grad_lab
562,GCs48V,,,,Africa,Ethiopia,,representative,ethiopia_isolates_grad_lab
563,GCs54C,,,,Africa,Ethiopia,,representative,ethiopia_isolates_grad_lab
564,GGG006,SRR16683453,GGG006,2019-01,Asia,Vietnam,,representative,BristowMortimer_2023
565,GGG020,SRR16683603,GGG020,2019-01,Asia,Vietnam,,representative,BristowMortimer_2023
566,GGG022,SRR16683890,GGG022,2019-01,Asia,Vietnam,,representative,BristowMortimer_2023
567,GGG026,SRR16683887,GGG026,2019,Asia,Vietnam,,representative,BristowMortimer_2023
568,GGG031,SRR16683885,GGG031,2019-01,Asia,Vietnam,,representative,BristowMortimer_2023
569,GGG036,SRR16683879,GGG036,2019-01,Asia,Vietnam,,representative,BristowMortimer_2023
570,GGG042,SRR16683873,GGG042,2019-02,Asia,Vietnam,,representative,BristowMortimer_2023
571,HHH001,SRR16683863,HHH001,2019-01,Asia,Vietnam,,representative,BristowMortimer_2023
572,HHH013,SRR16683851,HHH013,2019-02,Asia,Vietnam,,representative,BristowMortimer_2023
573,HHH018,SRR16683845,HHH018,2019-03,Asia,Vietnam,,representative,BristowMortimer_2023
574,HHH038,SRR16683824,HHH038,2019-11,Asia,Vietnam,,representative,BristowMortimer_2023
575,HHH042,SRR16683820,HHH042,2019-01,Asia,Vietnam,,representative,BristowMortimer_2023
576,HHH044,SRR16683818,HHH044,2019-10,Asia,Vietnam,,representative,BristowMortimer_2023
