,id,sv_cluster,hv1_cluster,hv2_cluster
706,BJ16148_opa_9,2,8,9
707,CCC010_opa_1,2,1,5
708,CCC010_opa_10,1,19,9
709,CCC010_opa_11,2,5,1
710,CCC010_opa_2,2,5,1
711,CCC010_opa_3,1,5,1
712,CCC010_opa_4,2,17,6
713,CCC010_opa_5,2,1,5
714,CCC010_opa_6,2,7,1
715,CCC010_opa_7,2,3,4
716,CCC010_opa_8,2,5,1
717,CCC010_opa_9,1,11,3
718,CCC012_opa_1,2,17,6
719,CCC012_opa_10,1,1,5
720,CCC012_opa_11,4,4,6
721,CCC012_opa_2,2,17,6
722,CCC012_opa_3,2,5,1
723,CCC012_opa_4,2,17,6
724,CCC012_opa_5,2,1,2
725,CCC012_opa_6,4,4,6
726,CCC012_opa_7,2,3,4
727,CCC012_opa_8,5,1,6
728,CCC012_opa_9,2,8,9
729,CCC013_opa_1,5,1,2
730,CCC013_opa_10,4,2,7
731,CCC013_opa_11,2,16,2
732,CCC013_opa_2,2,16,2
733,CCC013_opa_3,2,1,5
734,CCC013_opa_4,2,17,6
735,CCC013_opa_5,2,5,1
736,CCC013_opa_6,2,7,1
737,CCC013_opa_7,1,3,4
738,CCC013_opa_8,1,17,1
739,CCC013_opa_9,1,11,3
740,CCC014_opa_1,5,1,2
741,CCC014_opa_10,5,20,2
742,CCC014_opa_11,3,9,6
743,CCC014_opa_2,1,4,2
744,CCC014_opa_3,5,2,3
745,CCC014_opa_4,1,6,8
746,CCC014_opa_5,1,5,1
747,CCC014_opa_6,1,20,6
748,CCC014_opa_7,2,11,3
749,CCC014_opa_8,5,2,3
750,CCC014_opa_9,1,11,3
751,CCC015_opa_1,5,1,2
752,CCC015_opa_10,5,2,3
753,CCC015_opa_11,3,9,6
754,CCC015_opa_2,1,4,2
755,CCC015_opa_3,5,2,3
756,CCC015_opa_4,1,6,8
757,CCC015_opa_5,1,5,1
758,CCC015_opa_6,1,20,6
759,CCC015_opa_7,2,3,4
760,CCC015_opa_8,5,2,3
761,CCC015_opa_9,1,11,3
762,CCC016_opa_1,5,1,2
763,CCC016_opa_10,1,19,9
764,CCC016_opa_11,2,17,4
