ref_lcb_start,ref_lcb_stop,ref_lcb_strand,query_lcb_start,query_lcb_stop,query_lcb_strand,lcb_num,length_ratio,ref_strain,query_strain
1222194,1594716,1,1163032,1533067,1,5,1.0067209858526895,FA1090,2010C02-038
1602327,1717553,1,1607341,1722428,1,6,1.001207781938881,FA1090,2010C02-038
1717557,2046393,1,1723725,2054496,-1,7,0.9941500312905303,FA1090,2010C02-038
2047519,2155339,1,2055113,2163486,1,8,0.9948972530058224,FA1090,2010C02-038
1,458777,1,1,460492,1,0,0.9962757144004986,FA1090,2014E02-242
471791,1065429,1,470676,1132313,-1,1,0.8972261224810584,FA1090,2014E02-242
1081650,1104789,1,1647761,1670952,1,2,0.9977577508516234,FA1090,2014E02-242
1107427,1595404,1,1153169,1641429,1,3,0.9994203907754066,FA1090,2014E02-242
1602338,2155339,1,1670957,2223798,1,4,1.0002894141353482,FA1090,2014E02-242
1,55328,1,1,55947,1,0,0.988935759482358,FA1090,2016E02-233
55336,55415,1,1931879,1931953,-1,1,1.0675675675675675,FA1090,2016E02-233
55424,187800,1,56048,187163,1,2,1.0096175113450025,FA1090,2016E02-233
187803,465966,1,256236,533424,1,3,1.0035174682886705,FA1090,2016E02-233
471786,1066514,1,535238,1196283,-1,4,0.8996785392824996,FA1090,2016E02-233
1085470,1148068,1,1603567,1666027,1,5,1.002209414024976,FA1090,2016E02-233
1149140,1217000,1,188236,256233,-1,6,0.9979852052296425,FA1090,2016E02-233
1222812,1591373,1,1219388,1590322,1,7,0.993602635509282,FA1090,2016E02-233
1602271,1717307,1,1666681,1782075,1,8,0.9968975856630328,FA1090,2016E02-233
1717312,1891395,1,1932016,2112716,-1,9,0.9633812949640288,FA1090,2016E02-233
1891549,2043340,1,1782436,1931866,-1,10,1.0158000401525797,FA1090,2016E02-233
2047523,2155339,1,2113092,2221680,1,11,0.9928905588094449,FA1090,2016E02-233
1,1069401,1,1,1079987,1,0,0.9901980210854585,FA1090,20181204
1085384,1105155,1,1597005,1616799,1,1,0.9988380317267859,FA1090,20181204
1109719,1596464,1,1097138,1587293,1,2,0.993043017004825,FA1090,20181204
1602703,2155339,1,1616803,2171354,1,3,0.9965467558439169,FA1090,20181204
1,187800,1,1,188368,1,0,0.996984609830809,FA1090,2018C07-301
187803,465942,1,257537,535234,1,1,1.0015916628555583,FA1090,2018C07-301
471791,1066545,1,537072,1198247,-1,2,0.8995409687299126,FA1090,2018C07-301
1069442,1072613,1,1591985,1595188,-1,3,0.9900093662191696,FA1090,2018C07-301
1084371,1148588,1,1603403,1667602,1,4,1.0002803781990375,FA1090,2018C07-301
1149140,1217000,1,189441,257534,-1,5,0.9965782092138693,FA1090,2018C07-301
1221073,1591350,1,1220729,1591983,1,6,0.9973683785225209,FA1090,2018C07-301
