DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	for_nanopore_sequencing
COLOR	#e95e0d

LEGEND_TITLE	for_nanopore_sequencing
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdb97d	#e95e0d
LEGEND_LABELS	N	Y

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
UMASS-DGI_40	#fdb97d	N
UMASS-DGI_41	#fdb97d	N
UMASS-DGI_42	#fdb97d	N
UMASS-DGI_43	#fdb97d	N
UMASS-DGI_44	#fdb97d	N
UMASS-DGI_45	#fdb97d	N
UMASS-DGI_46	#e95e0d	Y
UMASS-DGI_48	#fdb97d	N
UMASS-DGI_49	#fdb97d	N
UMASS-DGI_5	#fdb97d	N
UMASS-DGI_50	#fdb97d	N
UMASS-DGI_51	#fdb97d	N
UMASS-DGI_52	#fdb97d	N
UMASS-DGI_53	#fdb97d	N
UMASS-DGI_54	#fdb97d	N
UMASS-DGI_55	#fdb97d	N
UMASS-DGI_56	#fdb97d	N
UMASS-DGI_57	#fdb97d	N
UMASS-DGI_58	#fdb97d	N
UMASS-DGI_59	#fdb97d	N
UMASS-DGI_60	#fdb97d	N
UMASS-DGI_61	#fdb97d	N
UMASS-DGI_62	#fdb97d	N
UMASS-DGI_63	#fdb97d	N
UMASS-DGI_64	#fdb97d	N
UMASS-DGI_65	#fdb97d	N
UMASS-DGI_66	#fdb97d	N
